,complaint,coded_month,date_occur,count,crime,district,description,ileads_address,ileads_street,neighborhood,location_name,location_comment,cad_address,cad_street,x_coord,y_coord,crimeCatNum,crimeCatName,violent,property,dateOcc,timeOcc,weekday,dayNight,missing,,Type of Larceny,
32,19-040062,2019-08,8/16/2019 11:55,1,64701,5,LARCENY-FROM MTR VEH UNDER $500,4359,LINDELL BLVD,38,NA,NA,4359,LINDELL,890908.4,1022619,6,Larceny,FALSE,TRUE,8/16/2019,6:55:00,Fri,Day,FALSE,,,
33,19-043126,2019-08,8/16/2019 17:00,1,64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,327,N TAYLOR AVE,38,NA,NA,327,TAYLOR,889423.9,1023738,6,Larceny,FALSE,TRUE,8/16/2019,12:00:00,Fri,Day,FALSE,,,
34,19-040092,2019-08,8/16/2019 19:00,1,63701,5,LARCENY-SHOPLIFT UNDER $500,3925,LINDELL BLVD,38,CVS,NA,3925,LINDELL,894199,1021580,6,Larceny,FALSE,TRUE,8/16/2019,14:00:00,Fri,Day,FALSE,,,
35,19-040164,2019-08,8/16/2019 19:00,1,64701,5,LARCENY-FROM MTR VEH UNDER $500,4431,LINDELL BLVD,38,NA,NA,4431,LINDELL,890209.1,1022815,6,Larceny,FALSE,TRUE,8/16/2019,14:00:00,Fri,Day,FALSE,,,
36,19-040210,2019-08,8/16/2019 22:00,1,64701,5,LARCENY-FROM MTR VEH UNDER $500,0,OLIVE ST / WALTON AVE,38,NA,NA,NA,NA,889365.6,1025450,6,Larceny,FALSE,TRUE,8/16/2019,17:00:00,Fri,Day,FALSE,,,
37,19-040234,2019-08,8/16/2019 23:59,1,64701,5,LARCENY-FROM MTR VEH UNDER $500,3949,LINDELL BLVD,38,NA,NA,3949,LINDELL,893684.9,1021926,6,Larceny,FALSE,TRUE,8/16/2019,18:59:00,Fri,Night,FALSE,,,
38,19-040271,2019-08,8/17/2019 23:58,1,63701,5,LARCENY-SHOPLIFT UNDER $500,4218,LINDELL BLVD,38,NA,@WALGREENS,4218,LINDELL,891808.7,1022061,6,Larceny,FALSE,TRUE,8/17/2019,18:58:00,Sat,Night,FALSE,,,
39,19-040428,2019-08,8/19/2019 4:33,1,65601,5,"LARCENY-MTR VEH PARTS $500 - $24,999",0,N BOYLE AVE / OLIVE ST,38,NA,NA,NA,NA,892035.1,1023916,6,Larceny,FALSE,TRUE,8/19/2019,23:33:00,Mon,Night,FALSE,,,
40,19-040698,2019-08,8/19/2019 8:30,1,67601,5,"LARCENY-FROM BUILDING $500 - $24,999",4949,BARNES JEWISH HOSPITAL PLZ,38,HOSPITAL - BARNES JEWISH,NA,4949,NA,887396.8,1020150,6,Larceny,FALSE,TRUE,8/19/2019,3:30:00,Mon,Day,FALSE,,,
41,19-041981,2019-08,8/20/2019 12:00,1,67701,5,LARCENY-FROM BUILDING UNDER $500,4949,BARNES JEWISH HOSPITAL PLZ,38,BARNES JEWISH HOSPITAL,NA,4949,NA,887396.8,1020150,6,Larceny,FALSE,TRUE,8/20/2019,7:00:00,Tue,Day,FALSE,,,
42,19-040825,2019-08,8/21/2019 0:01,1,67701,5,LARCENY-FROM BUILDING UNDER $500,405,N EUCLID AVE,38,UP DOWN BAR,NA,405,EUCLID,888427.1,1025176,6,Larceny,FALSE,TRUE,8/21/2019,19:01:00,Wed,Night,FALSE,,,
43,19-041147,2019-08,8/21/2019 8:00,1,69702,5,LARCENY-ALL OTHER UNDER $500,4262,OLIVE ST,38,NA,NA,4262,OLIVE,892035.1,1023916,6,Larceny,FALSE,TRUE,8/21/2019,3:00:00,Wed,Day,FALSE,,,
44,19-040996,2019-08,8/21/2019 16:00,1,67601,5,"LARCENY-FROM BUILDING $500 - $24,999",302,N KINGSHIGHWAY BLVD,38,NA,STRAUB S,302,KINGSHIGHWAY,887599.1,1024036,6,Larceny,FALSE,TRUE,8/21/2019,11:00:00,Wed,Day,FALSE,,,
45,19-041082,2019-08,8/21/2019 16:30,1,69602,5,"LARCENY-ALL OTHER $500 - $24,999",4463,PERSHING AVE,38,NA,NA,4463,PERSHING,890073.3,1023850,6,Larceny,FALSE,TRUE,8/21/2019,11:30:00,Wed,Day,FALSE,,,
